X,Y,Z,u',v'
0,17.5,24.4,850.6757202,864.3670044
0,21,24.4,851.1136475,704.9638672
0,24.5,24.4,849.8051147,541.7839966
0,28,24.4,850.3927612,374.1390381
0,31.5,24.4,850.9360962,202.2688141
3.4,0,0,1636.236572,1447.481934
3.4,3.5,0,1642.608398,1342.380859
3.4,7,0,1650.22229,1235.156372
3.4,10.5,0,1657.345581,1125.27002
3.4,14,0,1664.838135,1014.728271
3.4,17.5,0,1672.41626,901.0465698
3.4,21,0,1680.162354,786.086792
3.4,24.5,0,1688.367798,668.3450317
3.4,28,0,1696.43042,547.8201904
3.4,31.5,0,1705.597168,425.4558105
6.9,0,0,1720.738159,1478.596069
6.9,3.5,0,1728.81897,1367.76709
6.9,7,0,1737.072754,1255.375366
6.9,10.5,0,1745.241211,1141.105347
6.9,14,0,1753.438843,1024.688599
6.9,17.5,0,1762.756592,907.4864502
6.9,21,0,1772.375977,786.4194336
6.9,24.5,0,1781.604248,662.8649292
6.9,28,0,1791.264648,536.5829468
6.9,31.5,0,1801.5354,407.5894165
10.4,0,0,1814.635498,1511.962036
10.4,3.5,0,1823.363525,1396.185547
10.4,7,0,1833.189331,1278.273193
10.4,10.5,0,1843.165161,1159.5354
10.4,14,0,1852.3396,1037.29541
10.4,17.5,0,1862.814087,912.4100342
10.4,21,0,1873.576904,785.8157349
10.4,24.5,0,1884.513306,655.7312012
10.4,28,0,1896.494751,523.7294922
10.4,31.5,0,1907.625244,387.9785461
13.9,0,0,1917.878784,1548.790161
13.9,3.5,0,1927.782471,1427.903809
13.9,7,0,1938.939697,1303.578125
13.9,10.5,0,1950.328491,1178.026245
13.9,14,0,1962.016357,1050.980591
13.9,17.5,0,1973.489502,919.7357178
13.9,21,0,1985.918457,785.7879639
13.9,24.5,0,1999.555542,649.2924805
13.9,28,0,2011.897461,508.8182678
13.9,31.5,0,2025.489258,365.8737488
17.4,0,0,2031.673462,1589.435303
17.4,3.5,0,2044.065063,1462.471436
17.4,7,0,2056.755371,1332.39978
17.4,10.5,0,2069.461914,1200.206665
17.4,14,0,2082.709473,1064.658936
17.4,17.5,0,2096.573975,927.2737427
17.4,21,0,2111.396973,785.4596558
17.4,24.5,0,2126.141846,640.9210815
17.4,28,0,2141.755371,492.6377563
17.4,31.5,0,2157.424316,341.6026611
20.9,0,0,2159.769287,1634.916382
20.9,3.5,0,2172.875732,1501.051636
20.9,7,0,2188.371094,1363.578979
20.9,10.5,0,2203.459473,1224.03125
20.9,14,0,2218.641357,1081.041748
20.9,17.5,0,2235.501953,934.8536377
20.9,21,0,2251.866455,784.6398315
20.9,24.5,0,2269.44165,631.4415283
20.9,28,0,2287.448975,474.8759155
20.9,31.5,0,2305.489746,314.7150269
24.4,0,0,2301.874756,1685.274536
24.4,3.5,0,2318.22583,1543.635864
24.4,7,0,2335.166504,1398.827759
24.4,10.5,0,2353.481934,1251.102295
24.4,14,0,2371.450439,1099.552368
24.4,17.5,0,2390.904053,944.1050415
24.4,21,0,2410.082031,785.2631226
24.4,24.5,0,2430.768311,622.0913696
24.4,28,0,2451.076904,455.5060425
24.4,31.5,0,2471.496338,285.0873108
